"","Date","RMBperUSD","SHIBOR","LIBOR","CSI300","GSPC","m1_CN","m2_CN","m1_US","m2_US"
"23",2007-01-24,7.7755,2.5184,5.32,2536.43,1440.130005,128484.06,351498.77,1368.7,7064.1
"24",2007-01-25,7.7735,2.5185,5.32,2452.83,1423.900024,128484.06,351498.77,1368.7,7064.1
"25",2007-01-26,7.7817,2.5186,5.32,2512.92,1422.180054,128484.06,351498.77,1368.7,7064.1
"26",2007-01-27,7.78233333333333,2.51886666666667,5.32,2534.25333333333,1421.66003433333,128484.06,351498.77,1368.7,7064.1
"27",2007-01-28,7.78296666666667,2.51913333333333,5.32,2555.58666666667,1421.14001466667,128484.06,351498.77,1368.7,7064.1
"28",2007-01-29,7.7836,2.5194,5.32,2576.92,1420.619995,128484.06,351498.77,1368.7,7064.1
"29",2007-01-30,7.7796,2.5195,5.32,2551.88,1428.819946,128484.06,351498.77,1368.7,7064.1
"30",2007-01-31,7.7776,2.5196,5.32,2385.33,1438.23999,128484.06,351498.77,1368.7,7064.1
"31",2007-02-01,7.7615,2.5236,5.32,2395.17,1445.939941,126258.08,358659.25,1347.1,7075.7
"32",2007-02-02,7.7613,2.5286,5.32,2298,1448.390015,126258.08,358659.25,1347.1,7075.7
"33",2007-02-03,7.7622,2.57413333333333,5.32,2289.26666666667,1447.92334,126258.08,358659.25,1347.1,7075.7
"34",2007-02-04,7.7631,2.61966666666667,5.32,2280.53333333333,1447.456665,126258.08,358659.25,1347.1,7075.7
"35",2007-02-05,7.764,2.6652,5.32,2271.8,1446.98999,126258.08,358659.25,1347.1,7075.7
"36",2007-02-06,7.7595,2.8405,5.32,2316.04,1448,126258.08,358659.25,1347.1,7075.7
"37",2007-02-07,7.7496,3.0862,5.32,2369.79,1450.02002,126258.08,358659.25,1347.1,7075.7
"38",2007-02-08,7.7526,3.266,5.32,2410.6,1448.310059,126258.08,358659.25,1347.1,7075.7
"39",2007-02-09,7.7575,3.6175,5.32,2397.25,1438.060059,126258.08,358659.25,1347.1,7075.7
"40",2007-02-10,7.7594,3.76136666666667,5.32,2426.63,1436.49670433333,126258.08,358659.25,1347.1,7075.7
"41",2007-02-11,7.7613,3.90523333333333,5.32,2456.01,1434.93334966667,126258.08,358659.25,1347.1,7075.7
"42",2007-02-12,7.7632,4.0491,5.32,2485.39,1433.369995,126258.08,358659.25,1347.1,7075.7
"43",2007-02-13,7.7662,4.0089,5.32,2522.63,1444.26001,126258.08,358659.25,1347.1,7075.7
"44",2007-02-14,7.7552,3.9566,5.32,2588.35,1455.300049,126258.08,358659.25,1347.1,7075.7
"45",2007-02-15,7.7502,3.162,5.32,2668.63,1456.810059,126258.08,358659.25,1347.1,7075.7
"46",2007-02-16,7.7408,2.8076,5.32,2676.74,1455.540039,126258.08,358659.25,1347.1,7075.7
"47",2007-02-17,7.7417,2.6557,5.32,2679.834,1456.57504275,126258.08,358659.25,1347.1,7075.7
"48",2007-02-18,7.7426,2.6616875,5.32,2682.928,1457.6100465,126258.08,358659.25,1347.1,7075.7
"49",2007-02-19,7.7435,2.667675,5.32,2686.022,1458.64505025,126258.08,358659.25,1347.1,7075.7
"50",2007-02-20,7.7444,2.6736625,5.32,2689.116,1459.680054,126258.08,358659.25,1347.1,7075.7
"51",2007-02-21,7.7453,2.67965,5.32,2692.21,1457.630005,126258.08,358659.25,1347.1,7075.7
"52",2007-02-22,7.7462,2.6856375,5.32,2695.304,1456.380005,126258.08,358659.25,1347.1,7075.7
"53",2007-02-23,7.7471,2.691625,5.32,2698.398,1451.189941,126258.08,358659.25,1347.1,7075.7
"54",2007-02-24,7.748,2.6976125,5.32,2701.492,1450.58329233333,126258.08,358659.25,1347.1,7075.7
"55",2007-02-25,7.7489,2.7036,5.32,2704.586,1449.97664366667,126258.08,358659.25,1347.1,7075.7
"56",2007-02-26,7.7498,2.6964,5.32,2707.68,1449.369995,126258.08,358659.25,1347.1,7075.7
"57",2007-02-27,7.7471,2.6891,5.32,2457.49,1399.040039,126258.08,358659.25,1347.1,7075.7
"58",2007-02-28,7.7409,2.5326,5.32,2544.57,1406.819946,126258.08,358659.25,1347.1,7075.7
"59",2007-03-01,7.7472,2.4624,5.32,2473.54,1403.170044,127881.31,364104.66,1378,7172.9
"60",2007-03-02,7.7453,2.4225,5.32,2508.73,1387.170044,127881.31,364104.66,1378,7172.9
"61",2007-03-03,7.74363333333333,2.3841,5.31971,2497.69,1382.82002766667,127881.31,364104.66,1378,7172.9
"62",2007-03-04,7.74196666666667,2.3457,5.31942,2486.65,1378.47001133333,127881.31,364104.66,1378,7172.9
"63",2007-03-05,7.7403,2.3073,5.31913,2475.61,1374.119995,127881.31,364104.66,1378,7172.9
"64",2007-03-06,7.7453,2.2561,5.32,2520.29,1395.410034,127881.31,364104.66,1378,7172.9
"65",2007-03-07,7.7436,2.26,5.32,2589.44,1391.969971,127881.31,364104.66,1378,7172.9
"66",2007-03-08,7.7386,2.2615,5.32,2627.63,1401.890015,127881.31,364104.66,1378,7172.9
"67",2007-03-09,7.7436,2.2616,5.32,2611.39,1402.839966,127881.31,364104.66,1378,7172.9
"68",2007-03-10,7.74486666666667,2.26063333333333,5.32,2612.98333333333,1404.09330266667,127881.31,364104.66,1378,7172.9
"69",2007-03-11,7.74613333333333,2.25966666666667,5.32,2614.57666666667,1405.34663933333,127881.31,364104.66,1378,7172.9
"70",2007-03-12,7.7474,2.2587,5.32,2616.17,1406.599976,127881.31,364104.66,1378,7172.9
"71",2007-03-13,7.7397,2.2498,5.32,2640.17,1377.949951,127881.31,364104.66,1378,7172.9
"72",2007-03-14,7.7387,2.227,5.32,2597.36,1387.170044,127881.31,364104.66,1378,7172.9
"73",2007-03-15,7.742,2.2302,5.32,2645.55,1392.280029,127881.31,364104.66,1378,7172.9
"74",2007-03-16,7.739,2.2503,5.32,2604.23,1386.949951,127881.31,364104.66,1378,7172.9
"75",2007-03-17,7.7377,2.27956666666667,5.32,2622.62333333333,1391.98665366667,127881.31,364104.66,1378,7172.9
"76",2007-03-18,7.7364,2.30883333333333,5.32,2641.01666666667,1397.02335633333,127881.31,364104.66,1378,7172.9
"77",2007-03-19,7.7351,2.3381,5.32,2659.41,1402.060059,127881.31,364104.66,1378,7172.9
"78",2007-03-20,7.7395,2.3896,5.32,2672.77,1410.939941,127881.31,364104.66,1378,7172.9
"79",2007-03-21,7.7355,2.411,5.32,2702.6,1435.040039,127881.31,364104.66,1378,7172.9
"80",2007-03-22,7.731,2.4212,5.32,2711.32,1434.540039,127881.31,364104.66,1378,7172.9
"81",2007-03-23,7.7359,2.4365,5.32,2716.27,1436.109985,127881.31,364104.66,1378,7172.9
"82",2007-03-24,7.73703333333333,2.44393333333333,5.32,2732.19,1436.57332333333,127881.31,364104.66,1378,7172.9
"83",2007-03-25,7.73816666666667,2.45136666666667,5.32,2748.11,1437.03666166667,127881.31,364104.66,1378,7172.9
"84",2007-03-26,7.7393,2.4588,5.32,2764.03,1437.5,127881.31,364104.66,1378,7172.9
"85",2007-03-27,7.7343,2.4983,5.32,2784.02,1428.609985,127881.31,364104.66,1378,7172.9
"86",2007-03-28,7.7318,2.5819,5.32,2797.65,1417.22998,127881.31,364104.66,1378,7172.9
"87",2007-03-29,7.7303,2.6427,5.32,2783.3,1422.530029,127881.31,364104.66,1378,7172.9
"88",2007-03-30,7.7342,2.6809,5.32,2781.78,1420.859985,127881.31,364104.66,1378,7172.9
"89",2007-03-31,7.733,2.68576666666667,5.32,2804.55666666667,1422.09000633333,127881.31,364104.66,1378,7172.9
"90",2007-04-01,7.7318,2.69063333333333,5.32,2827.33333333333,1423.32002766667,127678.33,367326.45,1392,7262.5
"91",2007-04-02,7.7306,2.6955,5.32,2850.11,1424.550049,127678.33,367326.45,1392,7262.5
"92",2007-04-03,7.7277,2.7075,5.32,2888.11,1437.77002,127678.33,367326.45,1392,7262.5
"93",2007-04-04,7.7349,2.7333,5.32,2911.82,1439.369995,127678.33,367326.45,1392,7262.5
"94",2007-04-05,7.7268,2.7559,5.32,2945.04,1443.76001,127678.33,367326.45,1392,7262.5
"95",2007-04-06,7.7251,2.8552,5.32,2972.01,1443.97250375,127678.33,367326.45,1392,7262.5
"96",2007-04-07,7.7264,2.87773333333333,5.32,2994.06333333333,1444.1849975,127678.33,367326.45,1392,7262.5
"97",2007-04-08,7.7277,2.90026666666667,5.32,3016.11666666667,1444.39749125,127678.33,367326.45,1392,7262.5
"98",2007-04-09,7.729,2.9228,5.32,3038.17,1444.609985,127678.33,367326.45,1392,7262.5
"99",2007-04-10,7.7304,2.9863,5.32,3081.57,1448.390015,127678.33,367326.45,1392,7262.5
"100",2007-04-11,7.727,3.0406,5.32,3121.32,1438.869995,127678.33,367326.45,1392,7262.5
"101",2007-04-12,7.7264,3.0465,5.32,3176.44,1447.800049,127678.33,367326.45,1392,7262.5
"102",2007-04-13,7.7244,3.0815,5.32,3169.23,1452.849976,127678.33,367326.45,1392,7262.5
"103",2007-04-14,7.7236,3.16913333333333,5.32,3198.15333333333,1458.00996933333,127678.33,367326.45,1392,7262.5
"104",2007-04-15,7.7228,3.25676666666667,5.32,3227.07666666667,1463.16996266667,127678.33,367326.45,1392,7262.5
"105",2007-04-16,7.722,3.3444,5.32,3256,1468.329956,127678.33,367326.45,1392,7262.5
"106",2007-04-17,7.7308,3.4674,5.32,3283.6,1471.47998,127678.33,367326.45,1392,7262.5
"107",2007-04-18,7.7238,3.7489,5.32,3304.5,1472.5,127678.33,367326.45,1392,7262.5
"108",2007-04-19,7.7199,4.197,5.32,3150.3,1470.72998,127678.33,367326.45,1392,7262.5
"109",2007-04-20,7.723,4.33,5.32,3289.28,1484.349976,127678.33,367326.45,1392,7262.5
"110",2007-04-21,7.725,4.3538,5.32,3336.62666666667,1483.210002,127678.33,367326.45,1392,7262.5
"111",2007-04-22,7.727,4.3776,5.32,3383.97333333333,1482.070028,127678.33,367326.45,1392,7262.5
"112",2007-04-23,7.729,4.4014,5.32,3431.32,1480.930054,127678.33,367326.45,1392,7262.5
"113",2007-04-24,7.7293,4.4443,5.32,3445.2,1480.410034,127678.33,367326.45,1392,7262.5
"114",2007-04-25,7.7203,4.3539,5.32,3448.28,1495.420044,127678.33,367326.45,1392,7262.5
"115",2007-04-26,7.7199,4.1441,5.32,3493.58,1494.25,127678.33,367326.45,1392,7262.5
"116",2007-04-27,7.7139,3.8855,5.32,3470.52,1494.069946,127678.33,367326.45,1392,7262.5
"117",2007-04-28,7.7111,2.9779,5.32,3499.91666666667,1490.16996233333,127678.33,367326.45,1392,7262.5
"118",2007-04-29,7.7083,2.7349,5.32,3529.31333333333,1486.26997866667,127678.33,367326.45,1392,7262.5
"119",2007-04-30,7.7055,2.5498,5.32,3558.71,1482.369995,127678.33,367326.45,1392,7262.5
"120",2007-05-01,7.7042,2.5623875,5.32,3574.625,1486.300049,130275.8,369718.15,1385.2,7207.7
"121",2007-05-02,7.7029,2.574975,5.32,3590.54,1495.920044,130275.8,369718.15,1385.2,7207.7
"122",2007-05-03,7.7016,2.5875625,5.32,3606.455,1502.390015,130275.8,369718.15,1385.2,7207.7
"123",2007-05-04,7.7003,2.60015,5.32,3622.37,1505.619995,130275.8,369718.15,1385.2,7207.7
"124",2007-05-05,7.699,2.6127375,5.32,3638.285,1506.90665666667,130275.8,369718.15,1385.2,7207.7
"125",2007-05-06,7.6977,2.625325,5.32,3654.2,1508.19331833333,130275.8,369718.15,1385.2,7207.7
"126",2007-05-07,7.6964,2.6379125,5.32,3670.115,1509.47998,130275.8,369718.15,1385.2,7207.7
"127",2007-05-08,7.6951,2.6505,5.32,3686.03,1507.719971,130275.8,369718.15,1385.2,7207.7
"128",2007-05-09,7.6971,2.7114,5.32,3701.28,1512.579956,130275.8,369718.15,1385.2,7207.7
"129",2007-05-10,7.6965,2.77,5.32,3724.51,1491.469971,130275.8,369718.15,1385.2,7207.7
"130",2007-05-11,7.6835,3.0365,5.32,3702.61,1505.849976,130275.8,369718.15,1385.2,7207.7
"131",2007-05-12,7.6803,3.083,5.32,3713.21333333333,1504.949992,130275.8,369718.15,1385.2,7207.7
"132",2007-05-13,7.6771,3.1295,5.32,3723.81666666667,1504.050008,130275.8,369718.15,1385.2,7207.7
"133",2007-05-14,7.6739,3.176,5.32,3734.42,1503.150024,130275.8,369718.15,1385.2,7207.7
"134",2007-05-15,7.6948,3.14,5.32,3604.64,1501.189941,130275.8,369718.15,1385.2,7207.7
"135",2007-05-16,7.684,3.1272,5.32,3700.29,1514.140015,130275.8,369718.15,1385.2,7207.7
"136",2007-05-17,7.6785,3.0121,5.32,3778.6,1512.75,130275.8,369718.15,1385.2,7207.7
"137",2007-05-18,7.6804,2.9143,5.32,3776.63,1522.75,130275.8,369718.15,1385.2,7207.7
"138",2007-05-19,7.67533333333333,2.93386666666667,5.32,3794.9,1523.53332533333,130275.8,369718.15,1385.2,7207.7
"139",2007-05-20,7.67026666666667,2.95343333333333,5.32,3813.17,1524.31665066667,130275.8,369718.15,1385.2,7207.7
"140",2007-05-21,7.6652,2.973,5.32,3831.44,1525.099976,130275.8,369718.15,1385.2,7207.7
"141",2007-05-22,7.6551,2.999,5.32,3870.49,1524.119995,130275.8,369718.15,1385.2,7207.7
"142",2007-05-23,7.654,3.0109,5.32,3938.95,1522.280029,130275.8,369718.15,1385.2,7207.7
"143",2007-05-24,7.6525,3.0169,5.32,3919.75,1507.51001,130275.8,369718.15,1385.2,7207.7
"144",2007-05-25,7.6523,3.0193,5.32,3985.25,1515.72998,130275.8,369718.15,1385.2,7207.7
"145",2007-05-26,7.65193333333333,3.01756666666667,5.32,4014.36,1516.32498125,130275.8,369718.15,1385.2,7207.7
"146",2007-05-27,7.65156666666667,3.01583333333333,5.32,4043.47,1516.9199825,130275.8,369718.15,1385.2,7207.7
"147",2007-05-28,7.6512,3.0141,5.32,4072.58,1517.51498375,130275.8,369718.15,1385.2,7207.7
"148",2007-05-29,7.6538,3.0144,5.32,4168.29,1518.109985,130275.8,369718.15,1385.2,7207.7
"149",2007-05-30,7.6488,3.0177,5.32,3886.46,1530.22998,130275.8,369718.15,1385.2,7207.7
"150",2007-05-31,7.6506,3.0327,5.32,3927.95,1530.619995,130275.8,369718.15,1385.2,7207.7
"151",2007-06-01,7.6497,3.0357,5.32,3803.95,1536.339966,135847.4,377832.15,1370.4,7251.7
"152",2007-06-02,7.65053333333333,3.0386,5.32,3706.44333333333,1537.286662,135847.4,377832.15,1370.4,7251.7
"153",2007-06-03,7.65136666666667,3.0415,5.32,3608.93666666667,1538.233358,135847.4,377832.15,1370.4,7251.7
"154",2007-06-04,7.6522,3.0444,5.32,3511.43,1539.180054,135847.4,377832.15,1370.4,7251.7
"155",2007-06-05,7.6427,3.0399,5.32,3634.63,1530.949951,135847.4,377832.15,1370.4,7251.7
"156",2007-06-06,7.6398,3.0316,5.32,3677.58,1517.380005,135847.4,377832.15,1370.4,7251.7
"157",2007-06-07,7.6502,2.9691,5.32,3802.3,1490.719971,135847.4,377832.15,1370.4,7251.7
"158",2007-06-08,7.6656,2.973,5.32,3837.87,1507.670044,135847.4,377832.15,1370.4,7251.7
"159",2007-06-09,7.6699,2.97243333333333,5.32,3869.2,1508.153361,135847.4,377832.15,1370.4,7251.7
"160",2007-06-10,7.6742,2.97186666666667,5.32,3900.53,1508.636678,135847.4,377832.15,1370.4,7251.7
"161",2007-06-11,7.6785,2.9713,5.32,3931.86,1509.119995,135847.4,377832.15,1370.4,7251.7
"162",2007-06-12,7.6475,2.9938,5.32,4036.11,1493,135847.4,377832.15,1370.4,7251.7
"163",2007-06-13,7.6282,3.0056,5.32,4118.27,1515.670044,135847.4,377832.15,1370.4,7251.7
"164",2007-06-14,7.6258,3.034,5.32,4075.82,1522.969971,135847.4,377832.15,1370.4,7251.7
"165",2007-06-15,7.6238,3.0495,5.32,4099.38,1532.910034,135847.4,377832.15,1370.4,7251.7
"166",2007-06-16,7.62296666666667,3.07723333333333,5.32,4142.11,1532.290039,135847.4,377832.15,1370.4,7251.7
"167",2007-06-17,7.62213333333333,3.10496666666667,5.32,4184.84,1531.670044,135847.4,377832.15,1370.4,7251.7
"168",2007-06-18,7.6213,3.1327,5.32,4227.57,1531.050049,135847.4,377832.15,1370.4,7251.7
"169",2007-06-19,7.6195,3.1336,5.32,4253,1533.699951,135847.4,377832.15,1370.4,7251.7
"170",2007-06-20,7.618,3.1271,5.32,4157.6,1512.839966,135847.4,377832.15,1370.4,7251.7
"171",2007-06-21,7.6208,3.0932,5.32,4197.28,1522.189941,135847.4,377832.15,1370.4,7251.7
"172",2007-06-22,7.6224,3.0729,5.32,4051.43,1502.560059,135847.4,377832.15,1370.4,7251.7
"173",2007-06-23,7.62133333333333,3.06916666666667,5.32,3993.48333333333,1500.95336933333,135847.4,377832.15,1370.4,7251.7
"174",2007-06-24,7.62026666666667,3.06543333333333,5.32,3935.53666666667,1499.34667966667,135847.4,377832.15,1370.4,7251.7
"175",2007-06-25,7.6192,3.0617,5.32,3877.59,1497.73999,135847.4,377832.15,1370.4,7251.7
"176",2007-06-26,7.6184,3.0051,5.32,3928.21,1492.890015,135847.4,377832.15,1370.4,7251.7
"177",2007-06-27,7.6165,2.9985,5.32,4040.48,1506.339966,135847.4,377832.15,1370.4,7251.7
"178",2007-06-28,7.6178,2.9996,5.32,3858.52,1505.709961,135847.4,377832.15,1370.4,7251.7
"179",2007-06-29,7.6155,3.0502,5.32,3764.08,1503.349976,135847.4,377832.15,1370.4,7251.7
"180",2007-06-30,7.61283333333333,3.0604,5.32,3761.94,1508.710002,135847.4,377832.15,1370.4,7251.7
"181",2007-07-01,7.61016666666667,3.0706,5.32,3759.8,1514.070028,136237.43,383884.88,1368.2,7254.4
"182",2007-07-02,7.6075,3.0808,5.32,3757.66,1519.430054,136237.43,383884.88,1368.2,7254.4
"183",2007-07-03,7.5951,3.0706,5.32,3832.23,1524.869995,136237.43,383884.88,1368.2,7254.4
"184",2007-07-04,7.6007,3.0354,5.32,3743.58,1525.1350095,136237.43,383884.88,1368.2,7254.4
"185",2007-07-05,7.606,3.0262,5.32,3537.44,1525.400024,136237.43,383884.88,1368.2,7254.4
"186",2007-07-06,7.6135,3.093,5.32,3710.28,1530.439941,136237.43,383884.88,1368.2,7254.4
"187",2007-07-07,7.61183333333333,3.10973333333333,5.32,3747.28666666667,1530.90995266667,136237.43,383884.88,1368.2,7254.4
"188",2007-07-08,7.61016666666667,3.12646666666667,5.32,3784.29333333333,1531.37996433333,136237.43,383884.88,1368.2,7254.4
"189",2007-07-09,7.6085,3.1432,5.32,3821.3,1531.849976,136237.43,383884.88,1368.2,7254.4
"190",2007-07-10,7.5845,3.2286,5.32,3775.62,1510.119995,136237.43,383884.88,1368.2,7254.4
"191",2007-07-11,7.5712,3.266,5.32,3789.87,1518.76001,136237.43,383884.88,1368.2,7254.4
"192",2007-07-12,7.5762,3.239,5.32,3816.92,1547.699951,136237.43,383884.88,1368.2,7254.4
"193",2007-07-13,7.5731,3.2419,5.32,3820.12,1552.5,136237.43,383884.88,1368.2,7254.4
"194",2007-07-14,7.57143333333333,3.2459,5.32,3779.40333333333,1551.50667333333,136237.43,383884.88,1368.2,7254.4
"195",2007-07-15,7.56976666666667,3.2499,5.32,3738.68666666667,1550.51334666667,136237.43,383884.88,1368.2,7254.4
"196",2007-07-16,7.5681,3.2539,5.32,3697.97,1549.52002,136237.43,383884.88,1368.2,7254.4
"197",2007-07-17,7.5651,3.1797,5.32,3789.65,1549.369995,136237.43,383884.88,1368.2,7254.4
"198",2007-07-18,7.5661,3.0513,5.32,3807.57,1546.170044,136237.43,383884.88,1368.2,7254.4
"199",2007-07-19,7.5636,3.0203,5.32,3807,1553.079956,136237.43,383884.88,1368.2,7254.4
"200",2007-07-20,7.5712,3.0105,5.32,3971.88,1534.099976,136237.43,383884.88,1368.2,7254.4
"201",2007-07-21,7.56886666666667,3.01216666666667,5.32,4033.49333333333,1536.589966,136237.43,383884.88,1368.2,7254.4
"202",2007-07-22,7.56653333333333,3.01383333333333,5.32,4095.10666666667,1539.079956,136237.43,383884.88,1368.2,7254.4
"203",2007-07-23,7.5642,3.0155,5.32,4156.72,1541.569946,136237.43,383884.88,1368.2,7254.4
"204",2007-07-24,7.5725,3.0184,5.32,4161.35,1511.040039,136237.43,383884.88,1368.2,7254.4
"205",2007-07-25,7.5596,3.0015,5.32,4255.46,1518.089966,136237.43,383884.88,1368.2,7254.4
"206",2007-07-26,7.5789,2.9941,5.32,4303.19,1482.660034,136237.43,383884.88,1368.2,7254.4
"207",2007-07-27,7.5697,2.9719,5.32,4307.14,1458.949951,136237.43,383884.88,1368.2,7254.4
"208",2007-07-28,7.57393333333333,2.9732,5.32,4341.52666666667,1463.93664533333,136237.43,383884.88,1368.2,7254.4
"209",2007-07-29,7.57816666666667,2.9745,5.32,4375.91333333333,1468.92333966667,136237.43,383884.88,1368.2,7254.4
"210",2007-07-30,7.5824,2.9758,5.32,4410.3,1473.910034,136237.43,383884.88,1368.2,7254.4
"211",2007-07-31,7.5737,2.9778,5.32,4460.56,1455.27002,136237.43,383884.88,1368.2,7254.4
"212",2007-08-01,7.566,2.9768,5.3275,4290.48,1465.810059,140993.21,387205.04,1372.4,7314
"213",2007-08-02,7.5723,2.9689,5.33,4436.19,1472.199951,140993.21,387205.04,1372.4,7314
"214",2007-08-03,7.5683,2.9537,5.33,4598.38,1433.060059,140993.21,387205.04,1372.4,7314
"215",2007-08-04,7.56546666666667,2.93886666666667,5.33,4633.58,1444.59672066667,140993.21,387205.04,1372.4,7314
"216",2007-08-05,7.56263333333333,2.92403333333333,5.33,4668.78,1456.13338233333,140993.21,387205.04,1372.4,7314
"217",2007-08-06,7.5598,2.9092,5.33,4703.98,1467.670044,140993.21,387205.04,1372.4,7314
"218",2007-08-07,7.569,2.8805,5.33,4724.55,1476.709961,140993.21,387205.04,1372.4,7314
"219",2007-08-08,7.5759,2.8678,5.35,4668.09,1497.48999,140993.21,387205.04,1372.4,7314
"220",2007-08-09,7.5648,2.8613,5.54125,4777.29,1453.089966,140993.21,387205.04,1372.4,7314
"221",2007-08-10,7.5698,2.8564,5.61875,4726.68,1453.640015,140993.21,387205.04,1372.4,7314
"222",2007-08-11,7.57276666666667,2.8505,5.61625,4724.85,1453.40002466667,140993.21,387205.04,1372.4,7314
"223",2007-08-12,7.57573333333333,2.8446,5.61375,4723.02,1453.16003433333,140993.21,387205.04,1372.4,7314
"224",2007-08-13,7.5787,2.8387,5.61125,4721.19,1452.920044,140993.21,387205.04,1372.4,7314
"225",2007-08-14,7.5845,2.8255,5.58875,4795.57,1426.540039,140993.21,387205.04,1372.4,7314
"226",2007-08-15,7.5921,2.8194,5.56938,4798.75,1406.699951,140993.21,387205.04,1372.4,7314
"227",2007-08-16,7.5981,2.8077,5.5375,4721.94,1411.27002,140993.21,387205.04,1372.4,7314
"228",2007-08-17,7.6003,2.809,5.51,4626.58,1445.939941,140993.21,387205.04,1372.4,7314
"229",2007-08-18,7.5993,2.80843333333333,5.50708333333333,4712.86333333333,1445.809977,140993.21,387205.04,1372.4,7314
"230",2007-08-19,7.5983,2.80786666666667,5.50416666666667,4799.14666666667,1445.680013,140993.21,387205.04,1372.4,7314
"231",2007-08-20,7.5973,2.8073,5.50125,4885.43,1445.550049,140993.21,387205.04,1372.4,7314
"232",2007-08-21,7.597,2.7686,5.5,4972.71,1447.119995,140993.21,387205.04,1372.4,7314
"233",2007-08-22,7.5987,2.815,5.5,5051.69,1464.069946,140993.21,387205.04,1372.4,7314
"234",2007-08-23,7.5847,2.7979,5.505,5135.93,1462.5,140993.21,387205.04,1372.4,7314
"235",2007-08-24,7.5691,2.7709,5.5025,5217.58,1479.369995,140993.21,387205.04,1372.4,7314
"236",2007-08-25,7.56703333333333,2.7467,5.50375,5226.10333333333,1475.17667633333,140993.21,387205.04,1372.4,7314
"237",2007-08-26,7.56496666666667,2.7225,5.505,5234.62666666667,1470.98335766667,140993.21,387205.04,1372.4,7314
"238",2007-08-27,7.5629,2.6983,5.50625,5243.15,1466.790039,140993.21,387205.04,1372.4,7314
"239",2007-08-28,7.5545,2.751,5.5075,5251.77,1432.359985,140993.21,387205.04,1372.4,7314
"240",2007-08-29,7.5505,2.824,5.565,5171.82,1463.76001,140993.21,387205.04,1372.4,7314
"241",2007-08-30,7.5567,2.8587,5.665,5241.23,1457.640015,140993.21,387205.04,1372.4,7314
"242",2007-08-31,7.5607,2.8846,5.72,5296.81,1473.98999,140993.21,387205.04,1372.4,7314
"243",2007-09-01,7.55866666666667,2.89243333333333,5.735,5337.59666666667,1477.8475035,142591.57,393098.91,1355.9,7334.4
"244",2007-09-02,7.55663333333333,2.90026666666667,5.75,5378.38333333333,1481.705017,142591.57,393098.91,1355.9,7334.4
"245",2007-09-03,7.5546,2.9081,5.765,5419.17,1485.5625305,142591.57,393098.91,1355.9,7334.4
"246",2007-09-04,7.5556,2.9625,5.7975,5360.33,1489.420044,142591.57,393098.91,1355.9,7334.4
"247",2007-09-05,7.5546,3.0903,5.81875,5363.25,1472.290039,142591.57,393098.91,1355.9,7334.4
"248",2007-09-06,7.541,3.2956,5.82,5412.04,1478.550049,142591.57,393098.91,1355.9,7334.4
"249",2007-09-07,7.5411,3.4738,5.82375,5294.79,1453.550049,142591.57,393098.91,1355.9,7334.4
